comments,category
" today 14114 link express Dehradun to Rishikesh had no reservation we asked for it TT asked for 600 3pax we asked for confirmation he said ""ye to meri Jeb Mai jayengey"" he was so confident to be corrupt strange attitude 9999351103",staff complain
" you shown the dream ""Acche Din"" But your Railway is LOOTING us in innovative ways Dynamic fare is one Fare:1600 but dynamic fare is Extra 1200 If sombdy has emergency becomes victim of the LOOT Pls see sir ",poor service
_ A cow met with an accident and lying on platform 6 unattended at Chengalpattu railway station. It's very painful to see her in this stage. If you can rush help we can save her. I called the blue cross helpline too. Thanks. pic.twitter.com/rk4N5p3occ,security problem
__    Even after complaining 2 times no action was taken no services were provided and no safety for the passengers,staff complain
__    Yesterday was one hell of a journey by train no.22126,poor service
__ No fans working in Morbi-Wankanker local trains.. is this  and  Gujarat Model?,poor service
__ Sitting in a train from day before yesterday more than 5 hrs late. Special train paid same amount as any express train but no  water No food. IndianRail If you are there help us. Can't even track.,train delay
__ traveling #Train12211 G12 is this clean? Where is #swachrail pic.twitter.com/IsOU1UZQqA,hygiene
_138 16090 is delayed for last few days finding very difficult to go for office for many of them who board  stations,train delay
_Agra No water in s2,poor service
_BVP Thanks For Give Me Proper RAC Seat,appreciation
_CRly  why there is no extra trains for 2 week after Holi,request new service
_CRly _Railway  This is d railway station of Shrirampur (Dist Ahmednagar) with Board as BELAPUR. Several passengers get confused because it . Need to rectify issue . pic.twitter.com/5sBvBji4eV,request new service
_CRly _Railway  Why Railway Administration is forcing students to run every month 2School/college administration for certificate costing Rs20-30/month.Students admission is yearly basis,request new service
_CRly . Train number 11013 LTT-CBE express. Tap damaged in S9 coach. Plz fix it. PNR 8425211901. Train departed from Kalyan pic.twitter.com/IACPANeZkq,poor service
_dnr Many male passengers are boarding in ladies BOGGIE of Train Patna-Gaya passenger. Plz help. Pltform 9 Patna Jn,security problem
_ecor Child and Women help desks opened at Bhubaneswar,appreciation
_ECRly  why punctuality is being monitored?,train delay
_ECRly Booking clerk of BXV denied for BPT ticket booking from ALD to GHY in 12502 Express. (ALD to KIR,staff complain
_ECRly PNR:2505705146. chart prepared but current status is WL7. How to Complete My journey? Please help.,hygiene
_forum   Again facing the worsening condition of Indian railways. Mahamana exp running late by more than 2hrs. I wonder what possibly could be reasons for such frequent delays in trains & is railway ministry even aware of situation.,train delay
_forum such am important & one of the busiest railway stations...& Half of the sceeen doesn't works pic.twitter.com/T7Wo0soWij,poor service
_gkp  Is it Dustbin or seating coach ? Never seen this type of dirty coach in my life. U can't keep you feet on floors of coach. Everywhere full of dirt.,hygiene
_gkp  Kindly run 02411 Arunachal SF AC Express permanently i.e. not just as Summer Special and also give a stoppage of this train at Deoria Sadar. It would be better if you run this train as Rajdhani Express connecting Guwahti & NDLS via CPR,train delay
_gkp  TT allowed every to seat.. When I told charge my fine bcs I am with general tkt pic.twitter.com/SQM3SjBmnk,staff complain
_gkp _NRly sir train no 14712 and 14711 everyday late on running nobody careing pls take some action thanks,train delay
_gkp sir rajpura to batinda tak jitni bi rail gaddi mostly passengers chalti hai usme without ticket jyada hote Hai and usme jaga bi nahi milti so pls take needful action thanks,security problem
_INDIA Good work done by RPF on March 09,appreciation
_india sir this is regarding my FIR I HAD REGISTERD AT CHURCHGATE FOR THEFT OF MY IPHONE 6 for which fir number is 19404007170433. Almost 4 months has passed plz do the needful,security problem
_Jagaran IRCTC website is still in the hands of agents. This is how it works,poor service
_Ltd    pathetic condition at Danapur railway station. Plagued by mosquitoes. Everyone especially children are exposed to diseases.,hygiene
_Ltd  I thanks railway and specially Catering staff of KGM Shabtadi for making my journey memorable.. I would like to thank catering staff Love for giving us the best treatment in C6 following are my journey details: PNR: 2343159792,appreciation
_Ltd  just tell us the reason n its ok... No value of ours time lapses #shame pic.twitter.com/pBAOSBBobp,poor service
_Ltd  My ID Pachlakhi1 is suspended since long time.I mailed 9th jan &call customer care more than10 time.But no any responce on my request. last ticket ID IRCTC #8079687 pls take action on my request. i always obliged to you,request new service
_Ltd  pantry car supervisor came to my berth and assured me for good service/ genuine rate further thanks to authority,appreciation
_ltd My ID adarsh17 deactivated since long. Mailed more than 5 times but no response last ticket ID IRCTC #8311901,poor service
_Ltd Pathetic rotten food served in 12029 Shatabdi exp. PNR no 2823826300. Need to be looked and my ticket charges should be refunded pic.twitter.com/9qi6EVC5Pb,hygiene
_Ltd Pnr.6211772917 B4/31 Howrha mumbai mail 12321 The food quality was too good and tasty food served.service was excellent I'm happy thanks Indian Railway,appreciation
_Ltd Transaction Id Is 100001166872138 My Money got deducted from Bank account but Its Showing Rejected From Bank Please Help,refund
_Min  ~ i am travelling via train no. 14708 (Ranakpur express} situation in sleeper class is worse...so many personnel carrying waiting list tickets are travelling.....There is no difference between reservation and local coach....coach no. S11,security problem
_moradabad  04923 Gkp CDG superfast exp is running late by 5 hrs. Can u ever understand pain of passengers. Can u do something. Pathetic service.,train delay
_moradabad 04923 Gkp CDG superfast exp is running late by 5 hrs. Can u ever understand pain of passengers. Can u do something. Pathetic service.,train delay
_NRly   What's the point of new services when the old facilities are not running on time. Even super fast trains r running more than 9hrs late. I'm totally pissed off with Indian railways. Do anyone value time!,poor service
_NRly _Railway Sir I m at Amritsar Shatabdi Which is late today also,train delay
_NRly pls confirm the train no. 09011 running status,request new service
_NRly train nmb12370 3 hrs late 7.20 8.48,train delay
_Railway   _CRly what is the reason for local trains being late only b'coz express trains arrive late on central railway Mumbai.. Plz review.,train delay
_Railway   sir this is a day time robbery. See the price of 1 day parking. This is not only in lingampally Railway station,poor service
_Railway   Sir this is real state of indian railway.Not a single train running on  improvement in functioning of railway. pic.twitter.com/3MZVlQECpu,poor service
_Railway  _CRly  31 Sir there is always fighting to reserve seat in local for 8.11 train from Badlapur. Some groups are reserving seat not only seat but full bench for there copassengers. Pls inform RPF to look it,security problem
_Railway  If this is the rate of the products then why do the suppliers charge more?? If 7Rs is for tea and coffee then why do they charge 10Rs??? _vivek/stat us/844547442678771713,staff complain
_Railway  kanpur central upper class waiting room AC is not working waiting room is very exhausting,poor service
_Railway  running 7:24 hours late and still standing somewhere near robertsganj. Is there something can be done? pic.twitter.com/zAK6Vr2DfS,train delay
_Railway  why there so much delay in train towards CST. No train since 20-25 minutes towards CST . 1:23pm CST train not arrived yet at cotton green station harbour line. please don't delay local trains n fix issue.,train delay
_Railway : Too much mosquitoes in 15622 Train. Please do needful. I am sitting in B1.,hygiene
_Railway chart prep should be done before tatkal booking window,request new service
_Railway No ferrycart service at yeshwantpur Railway station!! Can some one pls give some attention and make some mode for commutation for challenged ppls???,request new service
_Railway PNR No 4553289193 sir iam defence person & currently onduty my wife is going to my village alone in hubbali varanasi exp but her ticket is in waiting list,request new service
_Railway without knowing that if we book another tatkal next day and at the same time chart also confirms booking,request new service
_raipur Employees exhibited their excellent imagination in the Painting competition organized in South East Central Railway. pic.twitter.com/iQzTVF2edS,appreciation
- after all today At Spj train 04404 got late & my wife missed her interchange at Spj to Roa,train delay
- can I get days of running 09725/ Indore Sarai Rohilla,request new service
- make an open offer to pvt sector to construct more FoBs with a benchmark of Rs10.44cr; 73.1m x 3.65m,request new service
- Sir train no. 09011 is standing at etmadpur station(AF-Tundla) section since long time. Plz do needful.,hygiene
- The A1 coach of the train number 07007 from Secunderabad to Darbhanga has extremely dirty toilets. Please implement the Swachh Bharat Abhiyan to this train.,hygiene
-The UTS system never work for paper less ticketing. The IT team need to work and solve the issue. Last 1 year we have face this issue. pic.twitter.com/u4Tnw2KAUm,poor service
-very dirty pillows on Kerala express (12625-March 10,hygiene
: 12028 firstclass toilet compartment near c1 toilet was leaking through out. The water was leaking from the flush through out the journey,hygiene
: Accidently hot tea has fallen on a person in 12909 G7 seat no 62 Need some first aid Request your help,security problem
: Appalled to see toilet converted into mobile Govt listening?? Shocking and depressing on our present state of affairs,hygiene
: hi it has become real fun these days in running trains on time I am travelling in 07758 and frustrated to say that I am still in guntur the 3rd point which is supposed to leave at 1820 hrs,train delay
: I am in AZAD HIND EXPRESS in nagpur. sleeper me tt ne pure general candidate baitha diye hai...i am in S3. Agar main apne stoppage pe utar ni paya to i 'll definately case on railway,security problem
: I'm travelling by Amritsar Csmt Express Pathankot COACH NO S 5 Few persons got inside the train without reservation or waiting tickets What's the point of booking n taking tickets in tatkal ?,staff complain
: intercity train between LKO and JHS is running late on an average of 4 5 hours on regular basis There are no other options on this route Request you to please take appropriate actions,train delay
: Is it allowed to smoke in the train? If not why people still smoke in the train? What is the duty of the GRPF and other officials?,security problem
: kindly provide urgent cleaning of upper class waiting hall at Mantralayam road station The stench is unbearable,hygiene
: No one is at ticket counter prior 10 mins before train schedule time Bihar They are even misbehaving when asked for ticket,staff complain
: passenger trains are without toilets and even if few boggies have toilets they do not have water Ladies and children are boarding these trains and suffer much,poor service
: PNR 6109857568 Train No 12510 B2 boggiee All restrooms are choked Compartment is dirty No cleaning at stops Attendant totally non supportive Please help Train is already late by 4 hrs and,hygiene
: Sardiha small railway station in Bengal had a tragic accident in 2010 where many people died Damaged bogies reminiscent of that incident is scattered till date around that station Will request to get bogies removed and area cleared,poor service
: sincere request to remove cancellation charges from waitlisted tickets that donot get confirmed after chart preparation both in general tatkal quota,request new service
: sir why we still suffering with super fast train They are running more than 8 hrs late all time Train 12873 is delayed by 8 hrs approx more is late running of a train is not a part of system??,train delay
: Train no 22427 BUI ANVT SF EXP scheduled to arrived at 1250 hrs has not reached yet Do you think passengers are useless fools by opting train to travel What is your accountability responsibility ? Pathetic service highly unprofessionalism by Railway,train delay
: Train no. 12425 Pnr : 2343100338 . May I know the departure time ? I checked by dial no. 139 and it says train is on time but the message i got on my number is that train has been delayed.,train delay
: we are traveling from jhs to nzm from benglore rajdhani with very poor service of attendant and staff no body appears to issue botel of water I suppose we paid for full service as per rajdhani and railway shall maintain the service standard,staff complain
: Why special train 01017 is late by 4 hour,train delay
": Why train no 14017 running so late and like "" nau din chale dhai kos "" ",train delay
": Why train no 14017 running so late and like "" nau din chale dhai kos "" ",train delay
:: I am navin bhaskar I purchased ticket PNR No: 6712046342 on 03 03 2018 night at 09:14 o'clock from Darbhanga counter for hariyarnath express Train no:14523 chart prepared but ticket not confirmed Today on counter smita chaudhary refused my ticket cancel,poor service
:sir maintenance in NDLS BHOPAL SHATABDI tr is very poor Toilets are dirty Dirt not removed regularly Basket behind seats are brokenCoach C 2 seat 24 dinner quite needful,hygiene
:Travelling by Karnataka Exp in A2 Coach A1 from NDLS Berth 11 Date 02 03 2018 One of the doors is not has to manually close it Hence not getting full A C effect We are paid travellers mind you,poor service
:went to Delhi cantt today want to travel from Delhi to Jaipur in double decker not able to book ticket online requested railway offical to issue ticket in current booking they informed despite having a empty seat in train they cannot issue ticket at last moment,poor service
. Dear sir its Atul singh traveling by train no14553 with pnr no 2143584574 on 12-03-2018. The hygiene condition is worst in this train. More people entered into coach.There is no GRP person or TET come yet. Pls do something it's all smelling even its hard to breathe pic.twitter.com/OnnA9i0VZD,hygiene
. I am traveling with my family on Rajdhani pnr no. 2443098963. Mukesh gautam station superintendent NDLS misbehaved with me. Not allowed to enter waiting room.,staff complain
. Kindly attention sir me traveling in train no. 59705. Fan and charging point is not working. Kindly look this matter,poor service
. Plz direct officals at Gaya Rly stn to clean coaches of 22409 Gaya Anvt Garibrath Exp. Train from Anvt arrived a short while back almost 10 hrs late & is ready for departure to Anvt at 20:30 hrs. No cleaning of coaches here. Sheer apathy,train delay
. Pnr no. 8552595237 and 8421097413. There are no handwash or not even cleanliness and same is reported in complaint book.,hygiene
. Request to allot all seats together for this PNR 4861508722.,request new service
. There is requirement of shed on platform no. 2 at Tohana railway station (TUN ) .,request new service
. Travelling to Mathura from Pune in AC 3 tier. Special train allocated 4 holidays. Very sad 2 C the state of train. Unhygienic,hygiene
.. 8.5 hours late. dont u think its time to improve? should not u find the culprit behind dis and put a deduction in his salary? who is gonna pay for my time wasted? pic.twitter.com/260GXerPSi,train delay
.. Retrogressive improvement in train timings.. Most of the trains are running late even though there's no fog.,train delay
.. yesterday also Pragati exp got late by 35 mins .. are we looking after the trn punctuality,train delay
... People are not able to enter into S9 coach of 12402 Magadh Express at new Delhi station as a lot of unreserved people are in the coach. Please do something.,security problem
.....too.much outside passengers in train number 15160......TTE snd rail police also not present...please check its suffocating in S12 boggie....,security problem
.....TTE amd rail police not present in train number 15160.....currently left uslapur station....,staff complain
....train no 18102 ...running late by more than 6 hr n I hv to board this train on renukut...bt now I didn't want to board this train due to late running,train delay
...train number 12280 (TAJ EXPRESS ) coach CE-1...washrooms are not cleaned and unhygienic...this is what indian railways offers,hygiene
..13150 Kanchankanya Express S8 Coach is filled with rats all over. Please arrange to have some pest control. Could become a health hazards.,hygiene
..sir i have booked tcket in 12906..my pnr no 6511763791..train was 10 hours late so i have to travel via some other train..i have to pay penalty for boarding in other train..whos fault is this..mine becuase i boarded in other train...or railways fault pic.twitter.com/xlyMujdvJ7,train delay
.12649 Bangalore to Nizamuddin departures Mathura at 7 .15 there after this train has been made a local passenger train loaded with all passengers at every halt .We understand country cannot be changed in 4 years but please don't make it more worse.,request new service
.19709 is still standing at now Kanpur station from more than 30 minutes.kindly look into it as the long distance train will be treated like this how rail journey will be perfect.,train delay
.He informed me to repay again 3200 in cash as u know our honarable prime minister Modi Ji announe digital.India So.I Informed him for Pay Tm Payment ..But he said that he will.throw me and my sister while running train,staff complain
.Hi Piyush Goyal sir..There is a complain for one of your TT Mr Chandan ..,staff complain
.I am travelling from NZM to Jhansi.Thanks for following improvements in Indian railways,appreciation
.kudos to railways joining hands with  for completing FOB in Mumbai,appreciation
.plz explain why charges are being deducted for online ticket auto waitlist cancellation. PNR: 2723590039 ticket booket for Rs2275/- and refund processed for Rs2080/-. Please explain y Rs195-/ has been deducted. This is daylight robbery,refund
.Plz have a look in Train number 64587.This is the condition of rush.,security problem
.Since I begged in traim some one to help so I got colleceted 2600 rs So I informed him but MR Chandan(TT) said that he want 3200 left 800 as a bribe and 8 paid,staff complain
.Sir we all rly apprentices (CCAAs) candidates are goes to death protest in KARNATAKA state.kindly look in this matter and recruit us in IR early.I hope you are a great person and your decision is fruitful for us and also INDIAN RAILWAYS.Thank you pic.twitter.com/6JXrR9txYN,request new service
(02412) train servise is very bad & no cleaner in this train.,hygiene
(Restroom),hygiene
# 1 Sir Train number 12172 has got over 6 hrs late at new Delhi What is the reason for delay Kindly insure the train reaches Mumbai on time,train delay
# Geetanjali express 12859S3 41Mobile charging point not working,poor service
# Geetanjali express12859S3 41Mobile charging point not workingPlease take action,poor service
# Greatone,appreciation
# I Filed a case in#consumer forum let see what will be happened 7k 93,security problem
# MumbaiThanksArmy,appreciation
# MumbaiThanksArmy,appreciation
# om ji sir ratlam div m aaj bhi contract labour ko payment bank k thru n hone se labour ko half salery hi mil rhi h digital india m ye,poor service
# RailwayMinister kindly make station free from beggars menance,request new service
# SwachhBharatMission an unknown word at Gaya junction ..sticking and filthy rail lines and platform,hygiene
###Indian Railway the worst### No water available since last night Toilet is just like hell,hygiene
#04405 late by more than 12 hours One side you are talking about running bullet train and on the other you can't run a train within acceptable time frame This is disgusting and unacceptable,train delay
#04405 Train is running 12 Hrs 30 Min late Still stoping again again,train delay
#1 3 Sir today an incident happened while travelling in Jammu mail The train left the Subzi Mandi Railway Station and was moving at a very slow speed,train delay
#1 the cost Why can't you introduce metro rail from to Secunderabad Kindly consider these and also the below mentioned trains 1 to Rameswaram through Tiruvannamalai during the days of pournami as there are many devotees who want to #2,request new service
#12381 passes through Ghaziabad Sahibabad Anand Vihar but does not stop there should be a stoppage from these three so that it should be convinient for UP Delhi border passengers,request new service
#12381 passes through Ghaziabad Sahibabad Anand Vihar but does not stop there should be a stoppage from these three so that it should be convinient for UP Delhi border passengers,request new service
#12381 passes through Ghaziabad Sahibabad Anand Vihar but does not stop.... there should be a stoppage from these three so that it should be convinient for UP-Delhi border passengers..,request new service
#12417#prayagraj express#b4 coach full of cockroaches world class experience and facilities attendends say can't do much so high charges #ac3 take action please,poor service
#12542 late more than 2hrs where as it was reported right time before kanpur What the hell everywhere it got stoped without reason,train delay
#14208 padmavat express 2 3 station just before destination stoppage for hours at each station and outers what the hell going,train delay
#14650 #7:20 hr. late....,train delay
#2 3 The mobile phones of three people including my friend were snatched away by thieves walking along railway tracks Passengers who commute on this train daily say that this happens on a daily basis,security problem
#2 visit these holy places Introduce the trains few days before pournami 2 to Kanyakumari3 to Mumbai through Guntur 4 to Vasco Da Gama through Guntur 5 to Chennai double decker #3,request new service
#2/3 The mobile phones of three people including my friend were snatched away by thieves walking along railway tracks. Passengers who commute on this train daily say that this happens on a daily basis.,security problem
#3 3 Sir this is a serious issue concerning the safety of passengers and their valuables I request you to take up this issue and please see if something can be done about it Thank you Regards Another passenger,security problem
#36 to New Delhi Indra Keeladri Express7 to Bengaluru via Tenali Renigunta Express8 to Trivendrum Super Fast Express9 to Pune ExpressAlso make Krishna Canal as seperate halt like KR Puram in #4,request new service
#4 Bengaluru Kindly introduce MMTS trains from in place of passenger trains to various locations Only change required is to introduce engine to run without electricity Make seperate line for these MMTS,request new service
#AchhneraRailwayStation Code : AH have 7 unreserved ticket window but only one open not sure when rest window opens Please take action Many a time long queue due to single open window,poor service
#AgeMatters and priority to same #Gender #FeminismIsCancer -news/rai lways-to-offer-vacant-berths-under-ladies-quota-to-women-on-wait-list-first-then-senior-citizens/story-IH,request new service
#awesomeindaianrailway,appreciation
#bhusawal rail #Jalgaon railway station urgently need medical help in general bogie 2 from engine side,security problem
#bpl Jodhpur passenger Fans are not working I am travelling in 14814 In S2 coach of the train fans are not running My pnr no is 8424683990,poor service
#broken edges of floor sir see photo graph of PF no 8 condition it may cause casulity tonpassengers or anyone Take necessary step,poor service
#BST se #Lko aane me 5:30+hrs lagte hey kya?,train delay
#central lineThere is 30 gap in local s timings in morning peak hrs Such a blind and foolish management in railways,poor service
#changeinrailway #suggestion 1 none of the wifi on stations r working properly whether it may be Bangalore Bhopal Chennai they hv 0 speed 2 you can start review and rating systm on IRCTC site whch should be on basis of food cleanliness punctuality,request new service
#durontoexpdelayed #notabletoreachhomeonholi DURONTO EXP Train No 12261 From Mumbai CST to Howrah DOJ:28 02 2018 is delayed by 03 hrs 30 mins going to miss the connecting train 21:30 13071 Jamalpur expalso#delayedlunch #dirtywashroomarea,train delay
#durontoexpdelayed #notabletoreachhomeonholi DURONTO EXP Train No 12261 From Mumbai CST to Howrah DOJ:28 02 2018 is delayed by 03 hrs 30 mins going to miss the connecting train 21:30 13071 Jamalpur expalso#delayedlunch #dirtywashroomarea,train delay
#EMERGENCY i m travelling by 12919,security problem
#EMERGENCY i m travelling by 12919 S10 68 2persons threatening me to throw train kindly ensure urgent safety,security problem
#EMERGENCY i m travelling by 12919 S10 68 2persons threatening me to throw train kindly ensure urgent safety,security problem
#Geetanjali express patient need medical assistance general bogie 2 from engine side train 12859,security problem
#gondarailway #Railways It's about more than 2.5 hours waiting for train number 11080 at GONDA Junction and still no hope for the same to come in next few hours. Kindly upgrade your existing administration and working system to let the train come on time.,train delay
#gorakhpurrailway station some fan in sleeper waiting room are not working,poor service
#help We are traveling in Coach B3 of 22656 Our entire coach is doing Very high Vibrations and it's really very problematic as well as seems some risk please take a probe on urgent basis,poor service
#indianrailsuperlate pathetic schedule of trains. 07009/delayed 6 hrs now; no response from railmin only #jumlebazi #lipservice to passengers via banners and socialmedia,train delay
#IndianRailways Dear sir we are traveling from train number 04406 on 1st march to Dbg This train is running more than 9 hours of delay If we look the back records every time it ends journey with more than 5 plus hours on average 1 1,train delay
#IndianRailways My W/L ticket got cancelled on 18 Feb and my money didn't got credited in my bank account yet and it's showing status as refunded. Pnr No- 2503705842,refund
#is swachh Bharat in not apply in train ## totlly wasted of money# also 7 hours late #,train delay
#Late run of train No 15048 is embarrassing people Does it matter 4 railway?,train delay
#Late run of train No 15048 is embarrassing people. Does it matter 4 railway?,train delay
#Mumbai thanks Army _Railwa y/status/968309707957063680,appreciation
#MumbaiThanksArmy,appreciation
#MumbaiThanksArmy,appreciation
#my smrtphn stolen frm chargng stnd#Howrh Stn Ynight10 31pm nr enquiry#patrlng mny#ccCmra bt no scrity Ridculs,security problem
#Plain veg thali is sold at Rs 45 instead of Rs 35 at Jan Ahar shop Pune PF No 1 today eveing Surprisingly they points towards normal water tap when asked for drinking water with meal PNR No 8424390093,hygiene
#Rail #Railways are doing great job,appreciation
#raildhaba Recent improvement in hygiene amenities range of delicious food at rail stations is remarkable If the improvement continues maintained people won't mind throwing birthday parties at railaahar,appreciation
#Railways #commerce now #SureshPrabhu takes charge of #Aviation goi Gajapathi resigned due 2 4India indifferent attitude 2 #Andhra The headline truely represents the spirit of #bjp,appreciation
#Railways intercity train no 12415 departure date 28 Feb. Not clean and bathroom doors lock Huk brocken. Water for flush not available in bathroom,hygiene
#Railways intercity train no 12415 departure date 28 Feb. Not clean and bathroom doors lock Huk brocken. Water tank empty for flush in bathroom,hygiene
#Shatabdi 12016 boarded frm #bki #dirtyToilets even after price hike and #dynamicPricing #shame,hygiene
#SwachhBharatMission this is the condition of toilets in Tatanagar reserved ticket counter in 1st floor pic.twitter.com/mFKcDWCK0d,hygiene
#Train No 15048 is getting too much late People in urgency importance of time do not matter 4 railway,train delay
#Train No 15048 is getting too much late. People in urgency & importance of time do not matter 4 railway,train delay
#TrainNo .12524 Rescheduled-By11Hrs25Mins,train delay
01 Bathrooms are smelled dirty 02 A lot of Disturbance from Wheels +Track and Coach in 12793 express now I'm traveling S5 coach with this PNR : 4551266436 There is a huge Disturbance Could you please assign to concern department,hygiene
01. Parliamentarians should get pension only after 15/20years of service,request new service
02011 AC is not working,poor service
02365 Patna anvt special 2nd ac bad condition ever no charging point no AC working no cleaness no water plz solve it,hygiene
02411 is running delayed by more than 10 hours Please maintain punctuality,train delay
02821 train today has given nothing but number of halts pushes and late timings and the train is just for sake is called 'Superfast' i respect the railways but this time totally disappointed #railways,train delay
04403 BJU To ANVT Is running more than 7 hrs late #Achhe din,train delay
04403 BJU To ANVT Is running more than 7 hrs late...#Achhe din,train delay
05007 late 7 pnr no 2243428948 seat no A1 12 23,train delay
05008 HWH RMR express Running late by 14hrs Stops for 20 30 mins at intermediate stations Don't know when will the train reach its final destination No drinking water facility pantry in train Please look into it,poor service
05115 no update at GKP station A T 21 00No announcement Reached at outer but no update at website and GKP junction,poor service
07008 darbhanga special express is running very late please solve,train delay
07487 TPTY VSKP AC SPL late by 2 hrs plus and stopping at all nonscheduled stations What nonsense is this? Charging high prices and keeping passengers at discomfort UTTER SHAME,train delay
08062 this is the situation of 2AC why do u run SPL trains when u can't maintain min hygiene and time,hygiene
08302 Sambalpur Express charging points not working in whole S8 compartment,poor service
08302 train late by 2hours which was announced after 45min delay Its a midnight train,train delay
09 02 PM Virar fast local boarded at Andheri Extremely crowded is ok but these people playing cards and making it difficult for other passengers to even stand In first class Everyday travellers The first class compartment behind the ladies first class,security problem
09003 B4 seat 5 no attendant AC is not working Suffocating,poor service
1    _Fadnavis  ... kindly check the matter and do the needful ...as we facing this issue since past month.. hope you people understand !!!,request new service
1  No body came sir. Only you people do twitter action. No ground work.,poor service
1 13049 is standing at pws since last 15 Mins Train is already delayed by 20 mins now railway staff making big delay,train delay
1 2 1 The drive launched on Feb 22 in the backdrop of two commuters being beaten up by bullies has fetched Western Railway Rs 75 000 in fines Highly aprreciable,security problem
1 2 any kind proof that they actually belongs to satff And so many of ppl say PASS HAI but they never show or never checked,staff complain
1 48 lakhs trains ran behind schedule time till Feb 2018 in eleven months Sh ji that means approximately 450 trains run behind their schedule time every day Facilities inside the trains even in premium one is pathetic including Pantry services,train delay
1 Agra Agra Sir please give information about that train no 71903 71904 is running or not if this train is not running then please give reason for not running this train,train delay
1 ALD speed of 12367 is faster thn all these train between CNB and NDLS ANVT Most of Rajdhani gangs cross ALD between 2 4 AM and CNB between 5 7AM vr as 12367 reaches ANVT delay of 4 5 hrs but 12417 or 12559 almost on Time,train delay
1 EMU 64439 and others EMU frm GZB daily running late and being stopped frm yamuna bridge to NDLS 10 to 20 mins Daily traveller facing problem We hv to reach office on time bt railway bhagwan bharoshe,train delay
1 government body RBI sends sms to common ppl that all 10 coins are legal tender and no one can refuse to accept them failing which the individual organisation can be booked under sedition charges while rlwys itself refuse to accept them #kosikalan,poor service
1 I am waiting for passager train at Hajipur jn going to Muzaffarpur jn It's why getting delay? Time display at time table board 7 45 am But still awaiting the arrival,train delay
1 I have greatly impressed with the cleanliness of dormitory cum retiring room at ALD Station But sir there is no AC working inside dormitory When I asked the concerned staff they said go and complain We pay for AC rooms,poor service
1 Jhansi att koch no direct train demand if public more than 5 yrs2 Make every train halt at orcha going towards3 There is no perfect platform area at last 5th platform becouse small trains or limted coach train go at last point of platform which becom imposibl,request new service
1 Kindly refer both images 2 When we asked for veg meal pantry men giving Matar paneer without asking to passenger and a part of meal same being charged 3 When we are asking for bill pantry is providing old bill having TIN No on it instead of GST bill 1 2,poor service
